A1BG	NM_130786
A1BG-AS1	NR_015380
A1CF	NM_014576
A1S9T	
A2M	NM_000014
A2M-AS1	NR_026971
A2ML1	NM_144670
A2ML1-AS1	
A2ML1-AS2	
A2MP1	NG_001067
A2MR	
A2MRAP	
A3GALT2	NM_001080438
A4GALT	NM_017436
A4GNT	NM_016161
A12M1	
A12M2	
A12M3	
A12M4	
AA	
AAAS	
AABT	
AAC1	
AAC2	
AACS	NM_023928
AACSP1	NR_024035
AACT	
AADAC	NM_001086
AADACL2	NM_207365
AADACL2-AS1	
AADACL3	NM_001103170
AADACL4	NM_001013630
AADACP1	
AADAT	NM_016228
AAGAB	NM_024666
AAK1	NM_014911
AAMDC	NM_024684
AAMP	NM_001087
AANAT	NM_001088
AAR2	NM_015511
AARD	NM_001025357
AARS1	NM_001605
AARS1P1	
AARS2	NM_020745
AARSD1	NM_001261434
AASDH	NM_181806
AASDHPPT	NM_015423
AASS	NM_005763
AATBC	NR_026961
AATF	NM_012138
AATK	NM_004920
AAVS1	
ABALON	NR_131907
ABAT	NM_020686
ABC1	
ABC2	
ABC3	
ABC7	
ABC50	
ABCA1	NM_005502
ABCA2	NM_001606
ABCA3	NM_001089
ABCA4	NM_000350
ABCA5	NM_018672
ABCA6	NM_080284
ABCA7	NM_019112
ABCA8	NM_007168
ABCA9	NM_172386
ABCA9-AS1	
ABCA10	NM_080282
ABCA11P	NR_002451.2
ABCA12	NM_173076
ABCA13	NM_152701
ABCA17P	NR_003574
ABCB1	NM_000927
ABCB2	
ABCB3	
ABCB4	NM_000443
ABCB5	NM_178559
ABCB6	NM_005689
ABCB7	NM_004299
ABCB8	NM_007188
ABCB9	NM_019624
ABCB10	NM_012089
ABCB10P1	NG_005041
ABCB10P2	
ABCB10P3	NG_022122
ABCB10P4	NG_022102
ABCB11	NM_003742
ABCC1	NM_004996
ABCC2	NM_000392
ABCC3	NM_020038
ABCC4	NM_005845
ABCC5	NM_005688
ABCC5-AS1	
ABCC6	
ABCC6P1	NR_003569
ABCC6P2	NR_023387
ABCC7	
ABCC8	NM_000352
ABCC9	NM_005691
ABCC10	NM_033450
ABCC11	NM_032583
ABCC12	NM_033226
ABCC13	
ABCD1	NM_000033
ABCD1P1	
ABCD1P2	
ABCD1P3	
ABCD1P4	
ABCD1P5	
ABCD2	NM_005164
ABCD3	NM_002858
ABCD4	NM_005050
ABCE1	NM_002940
ABCF1	
ABCF1-DT	
ABCF2	NM_005692
ABCF2-H2BE1	
ABCF2P1	
ABCF2P2	
ABCF3	NM_018358
ABCG1	NM_207174
ABCG2	NM_004827
ABCG4	NM_022169
ABCG5	NM_022436
ABCG8	NM_022437
ABCR	
ABHD1	NM_032604
ABHD2	
ABHD3	
ABHD4	
ABHD5	NM_016006
ABHD6	NM_020676
ABHD8	NM_024527
ABHD10	NM_018394
ABHD11	
ABHD11-AS1	NR_026690
ABHD11-AS2	
ABHD12	NM_015600
ABHD12B	
